time,time_raw,flux
54961.0587623,54961.0587623,1216.6756023207495
54961.079197,54961.079197,1175.5708859046517
54961.0996316,54961.0996316,1231.3190000904378
54961.1200662,54961.1200662,1191.1641902538402
54961.1405008,54961.1405008,1078.3802123808366
54961.1609353,54961.1609353,854.598264046309
54961.1813699,54961.1813699,654.7710728215657
54961.2018044,54961.2018044,477.0956827162839
54961.2222391,54961.2222391,477.18347931703823
54961.2426737,54961.2426737,524.4908499527517
54961.2631081,54961.2631081,501.8989023253716
54961.2835428,54961.2835428,620.2131540962732
54961.3039774,54961.3039774,700.1200663936999
54961.3244119,54961.3244119,818.516259515192
54961.3448452,54961.3448452,778.4761137213704
54961.3652811,54961.3652811,738.4365964741143
54961.3857157,54961.3857157,632.3438294478402
54961.4061503,54961.4061503,528.1378885092674
54961.4265849,54961.4265849,509.25106724059395
54961.4470195,54961.4470195,531.5956625371281
54961.467454,54961.467454,465.3685513711263
54961.4878885,54961.4878885,517.6284329041137
54961.5083232,54961.5083232,640.2424908566528
54961.5287578,54961.5287578,793.764252524405
54961.5491923,54961.5491923,934.763961277978
54961.5696269,54961.5696269,795.8250522019655
54961.5900615,54961.5900615,937.0646967474725
54961.610496,54961.610496,831.1903597050923
54961.6309306,54961.6309306,877.256870507016
54961.6513653,54961.6513653,820.8300681680789
54961.6717998,54961.6717998,678.0001504738136
54961.6922343,54961.6922343,607.1062174157006
54961.712669,54961.712669,545.8300874262201
54961.7331036,54961.7331036,550.7922505126336
54961.753538,54961.753538,538.9617439805295
54961.7739726,54961.7739726,540.6479839624391
54961.7944059,54961.7944059,677.0317245706356
54961.8148418,54961.8148418,813.4147762410201
54961.8352764,54961.8352764,876.6812474531629
54961.8557109,54961.8557109,980.9809154789148
54961.8761455,54961.8761455,1082.4594549537974
54961.8965801,54961.8965801,1113.7796023880765
54961.9170147,54961.9170147,981.8143300377478
54961.9374493,54961.9374493,849.1988285134973
54961.9578838,54961.9578838,816.6619590815922
54961.9783184,54961.9783184,748.0102767754051
54961.9987529,54961.9987529,784.81140254202
54962.0191876,54962.0191876,772.8869521715756
54962.0396222,54962.0396222,738.7582519729233
54962.0600566,54962.0600566,752.025444633234
54962.0804913,54962.0804913,673.5895194150538
54962.1009259,54962.1009259,567.7336013149322
54962.1213605,54962.1213605,613.613035635729
54962.1417949,54962.1417949,288.56376836682773
54962.1622296,54962.1622296,606.4444591986805
54962.1826642,54962.1826642,507.0304361419422
54962.2030987,54962.2030987,363.2384598286062
54962.2235334,54962.2235334,149.54677991510223
54962.2439679,54962.2439679,21.062792658092718
54962.2644024,54962.2644024,-88.76441909695613
54962.284837,54962.284837,-345.16503574724794
54962.3052717,54962.3052717,-545.4456316330654
54962.3257061,54962.3257061,-738.0707117855018
54962.3461407,54962.3461407,-941.0884808685746
54962.3665754,54962.3665754,-1094.1622065256925
54962.3870099,54962.3870099,-1129.3653449592828
54962.4074445,54962.4074445,-1011.0946268779866
54962.427879,54962.427879,-776.0073717862655
54962.4483137,54962.4483137,-718.0929037238781
54962.4687482,54962.4687482,-597.1463967123516
54962.4891828,54962.4891828,-496.60700815023773
54962.5096174,54962.5096174,-212.1562587538676
54962.5300519,54962.5300519,62.33490925014483
54962.5504865,54962.5504865,129.4492782509564
54962.5709211,54962.5709211,166.8770876835849
54962.5913557,54962.5913557,231.7187468429849
54962.6117902,54962.6117902,201.23404759177564
54962.6322248,54962.6322248,190.63101842309564
54962.6526594,54962.6526594,73.00100727288739
54962.673094,54962.673094,90.56919718823117
54962.6935285,54962.6935285,-77.66083152840756
54962.7139631,54962.7139631,-197.19188946134784
54962.7343977,54962.7343977,-355.26711099873484
54962.7548323,54962.7548323,-525.8119390366664
54962.7752669,54962.7752669,-776.5843815603059
54962.7957015,54962.7957015,-922.0082294623761
54962.816136,54962.816136,-1018.3909306036225
54962.8365706,54962.8365706,-1148.6429575063848
54962.8570052,54962.8570052,-1165.3415073172632
54962.8774397,54962.8774397,-1142.7469878442894
54962.8978743,54962.8978743,-1319.7955221693696
54962.9183089,54962.9183089,-970.726318200468
54962.9387435,54962.9387435,-843.5721602141942
54962.959178,54962.959178,-633.1469329862807
54962.9796126,54962.9796126,-675.7221444352195
54963.0000471,54963.0000471,-583.219930489438
54963.0204818,54963.0204818,-384.5875733384449
54963.0409164,54963.0409164,-283.17279781282366
54963.0613508,54963.0613508,-96.44060219332809
54963.0817854,54963.0817854,-105.29398582315076
54963.1022201,54963.1022201,-158.92481818921763
54963.1226546,54963.1226546,-416.20845310742936
54963.1430891,54963.1430891,-395.2232274030582
54963.1635238,54963.1635238,-511.43632658018265
54963.1839584,54963.1839584,-742.864219565474
54963.2043929,54963.2043929,-771.4175973153625
54963.2248274,54963.2248274,-852.6884820499902
54963.2452621,54963.2452621,-753.0977637530859
54964.5122051,54964.5122051,-952.0394180674133
54964.5326398,54964.5326398,-619.4625578457881
54964.5530744,54964.5530744,-376.34592141645027
54964.5735089,54964.5735089,-161.214671056013
54964.5939434,54964.5939434,149.44018773721282
54964.6143781,54964.6143781,599.6429170433136
54964.6348126,54964.6348126,717.787288384548
54964.6552471,54964.6552471,1114.671341317956
54964.6756818,54964.6756818,1312.3560368795029
54964.6961164,54964.6961164,1447.6356264464448
54964.7165509,54964.7165509,1347.6445686406316
54964.7369854,54964.7369854,1075.020284912639
54964.7574201,54964.7574201,806.2751473507482
54964.7778546,54964.7778546,664.3521460400474
54964.7982892,54964.7982892,332.48612288098275
54964.8187238,54964.8187238,60.16629545765437
54964.8391583,54964.8391583,-89.96185118265576
54964.8595929,54964.8595929,-224.59405668367802
54964.8800274,54964.8800274,-323.40868574871865
54964.900462,54964.900462,-391.55421207754875
54964.9208966,54964.9208966,-430.66007310575037
54964.9413312,54964.9413312,-314.53126759906627
54964.9617657,54964.9617657,-255.63642086662924
54964.9822003,54964.9822003,-180.32548314738727
54965.0026349,54965.0026349,-74.10085642390922
54965.0230693,54965.0230693,76.1790393201608
54965.043504,54965.043504,132.46745458993465
54965.0639386,54965.0639386,134.4367308778606
54965.0843731,54965.0843731,222.6936267611849
54965.1048076,54965.1048076,134.993270507901
54965.1252423,54965.1252423,75.55505139208243
54965.1456768,54965.1456768,-83.7529807239686
54965.1661113,54965.1661113,-203.31892404301115
54965.186546,54965.186546,-380.5704307767311
54965.2069806,54965.2069806,-422.3213426094178
54965.2274151,54965.2274151,-534.8059493201577
54965.2478496,54965.2478496,-541.8528522305286
54965.2682843,54965.2682843,-517.1697202499685
54965.2887188,54965.2887188,-512.0604955734024
54965.3091533,54965.3091533,-354.55840897570164
54965.329588,54965.329588,-336.33201974238455
54965.3500225,54965.3500225,-273.4387642414268
54965.370457,54965.370457,-167.96245618067306
54965.3908916,54965.3908916,-81.52064584125495
54965.4113262,54965.4113262,-3.839951330588466
54965.4317608,54965.4317608,97.35839942151912
54965.4521953,54965.4521953,229.51961484422645
54965.47263,54965.47263,390.53356476710576
54965.4930645,54965.4930645,344.6429175064522
54965.513499,54965.513499,356.83450395788526
54965.5339335,54965.5339335,339.29779659528566
54965.5543682,54965.5543682,205.80836619805046
54965.5748028,54965.5748028,200.48179358275846
54965.5952372,54965.5952372,134.1449665907931
54965.6156719,54965.6156719,145.31269225832253
54965.6361065,54965.6361065,65.24058339329186
54965.656541,54965.656541,92.55568908407008
54965.6769755,54965.6769755,92.4794545517034
54965.6974102,54965.6974102,91.50114541355393
54965.7178447,54965.7178447,34.39444356147659
54965.7382792,54965.7382792,-11.828023256488581
54965.7587139,54965.7587139,-23.83771838531797
54965.7791484,54965.7791484,-16.971239874249395
54965.7995829,54965.7995829,18.45727651661321
54965.8200175,54965.8200175,147.2265535393593
54965.8404522,54965.8404522,220.07448867621582
54965.8608866,54965.8608866,468.3081333378986
54965.8813212,54965.8813212,515.8974430421715
54965.9017559,54965.9017559,593.3705879063797
54965.9221903,54965.9221903,597.6198690351297
54965.9426249,54965.9426249,590.3606826476745
54965.9630595,54965.9630595,385.33727922830707
54965.9834941,54965.9834941,221.98908379528544
54966.0039286,54966.0039286,83.17567697141843
54966.0243632,54966.0243632,-180.1483213162735
54966.0447977,54966.0447977,-353.72590859853983
54966.0652323,54966.0652323,-522.7321653139423
54966.0856669,54966.0856669,-733.9260623003526
54966.1061015,54966.1061015,-685.3031760731792
54966.126536,54966.126536,-662.3094361935011
54966.1469706,54966.1469706,-566.3811331678967
54966.1674052,54966.1674052,-435.1216071879014
54966.1878397,54966.1878397,-384.74013136063786
54966.2082744,54966.2082744,-399.49603912446895
54966.2287089,54966.2287089,-325.7599769367137
54966.2491434,54966.2491434,-382.3802206972266
54966.269578,54966.269578,-340.8893600313926
54966.2900126,54966.2900126,-295.7606123336329
54966.3104471,54966.3104471,-288.47073608799997
54966.3308816,54966.3308816,-157.37386529177112
54966.3513163,54966.3513163,-167.21522445991744
54966.3717508,54966.3717508,-102.85832599917407
54966.3921854,54966.3921854,-46.2826941068936
54966.41262,54966.41262,-93.35354859189813
54966.4330545,54966.4330545,-125.06450444979235
54966.4534891,54966.4534891,-55.99436083013255
54966.4739236,54966.4739236,-176.82744208844994
54966.4943582,54966.4943582,-379.7202528245084
54966.5147928,54966.5147928,-605.9748082228343
54966.5352273,54966.5352273,-806.772622110316
54966.5556619,54966.5556619,-1002.7758252654531
54966.5760965,54966.5760965,-1164.8974299000793
54966.596531,54966.596531,-1132.121745789433
54966.6169655,54966.6169655,-1171.5135705020098
54966.6374002,54966.6374002,-1119.1263843661618
54966.6578348,54966.6578348,-1133.6585223046607
54966.6782692,54966.6782692,-1081.2643836753869
54966.6987039,54966.6987039,-933.436909902895
54966.7191385,54966.7191385,-921.2128993985401
54966.7395729,54966.7395729,-703.7345044356011
54966.7600075,54966.7600075,-509.3118453632409
54966.7804422,54966.7804422,-709.1617461618696
54966.8008766,54966.8008766,-192.33155088399008
54966.8213112,54966.8213112,3.2961624088102006
54966.8417458,54966.8417458,-27.95954261970295
54966.8621803,54966.8621803,-35.89189311849519
54966.8826149,54966.8826149,-79.2383281909422
54966.9030495,54966.9030495,-188.93088324959942
54966.923484,54966.923484,-83.13367290441619
54966.9439186,54966.9439186,107.90699677907335
54966.9643532,54966.9643532,197.0315924201301
54966.9847876,54966.9847876,112.47591110630916
54967.0052223,54967.0052223,69.95125112395685
54967.0256569,54967.0256569,129.48132865346673
54967.0460913,54967.0460913,179.04574755087629
54967.066526,54967.066526,356.6088924389764
54967.0869606,54967.0869606,453.62263885189105
54967.107395,54967.107395,570.5668035053695
54967.1278296,54967.1278296,701.3057366509597
54967.1482643,54967.1482643,878.7585965661119
54967.1686988,54967.1686988,1014.6121568414202
54967.1891333,54967.1891333,1105.6634145327398
54967.209568,54967.209568,1033.504912849416
54967.2300025,54967.2300025,890.5354212036862
54967.250437,54967.250437,636.1906163326435
54967.2708715,54967.2708715,221.3426573917795
54967.2913062,54967.2913062,-154.3533567500242
54967.3117407,54967.3117407,-395.719744774848
54967.3321752,54967.3321752,-487.45045594314445
54967.3526099,54967.3526099,-333.8379795825912
54967.3730444,54967.3730444,-333.73849700791436
54967.3934777,54967.3934777,-259.69141573791325
54967.4139135,54967.4139135,-185.64424156252005
54967.4343481,54967.4343481,15.339768493108899
54967.4547826,54967.4547826,-21.27618706177136
54967.4752172,54967.4752172,5.631844761237993
